"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"1",1,"Ja'Marr Chase",CIN,"WR1","10","Coach Upside rating","Coach Bust rating","3 out of 5 stars","0"
"25",3,"Josh Allen",BUF,"QB1","7","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-1"
"27",3,"Kyren Williams",LAR,"RB12","8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-2"
"30",4,"George Kittle",SF,"TE3","14","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+4"
"44",4,"Courtland Sutton",DEN,"WR20","12","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+8"
"50",5,"James Conner",ARI,"RB20","8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-3"
"57",5,"Tony Pollard",TEN,"RB21","10","Coach Upside rating","Coach Bust rating","2 out of 5 stars","0"
"77",6,"Jerry Jeudy",CLE,"WR36","9","Coach Upside rating","Coach Bust rating","2 out of 5 stars","0"
"89",6,"Matthew Golden",GB,"WR40","5","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-3"
"111",7,"Jordan Love",GB,"QB17","5","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+19"
"117",7,"Keon Coleman",BUF,"WR49","7","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+11"
"125",7,"Jacory Croskey-Merritt",WAS,"RB40","12","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-26"
"134",8,"Kyle Pitts Sr.",ATL,"TE16","5","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-3"
"208",9,"Green Bay Packers",GB,"DST10","5","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-9"
"288",11,"Will Reichard",MIN,"K16","6","Coach Upside rating","Coach Bust rating","0 out of 5 stars","-64"
