"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"8",2,"Nico Collins",HOU,"WR5","6","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+4"
"10",2,"Derrick Henry",BAL,"RB5","7","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-2"
"16",3,"Jonathan Taylor",IND,"RB7","11","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+2"
"31",4,"Mike Evans",TB,"WR14","9","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+9"
"48",5,"Joe Burrow",CIN,"QB5","10","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-12"
"55",5,"Calvin Ridley",TEN,"WR27","10","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+11"
"56",5,"George Pickens",DAL,"WR28","10","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+4"
"76",6,"Jaylen Warren",PIT,"RB28","5","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+5"
"93",6,"Evan Engram",DEN,"TE9","12","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-11"
"102",7,"Khalil Shakir",BUF,"WR44","7","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+4"
"119",7,"C.J. Stroud",HOU,"QB19","6","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+8"
"141",8,"Jerome Ford",CLE,"RB49","9","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-2"
"158",8,"Ollie Gordon II",MIA,"RB55","12","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-22"
"175",9,"Denver Broncos",DEN,"DST1","12","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-49"
"219",10,"Ka'imi Fairbairn",HOU,"K6","6","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-37"
