"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"9",2,"Christian McCaffrey",SF,"RB4","14","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-2"
"17",3,"De'Von Achane",MIA,"RB8","12","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-1"
"29",3,"Tee Higgins",CIN,"WR13","10","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+3"
"39",4,"Terry McLaurin",WAS,"WR18","12","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+3"
"49",5,"Chuba Hubbard",CAR,"RB19","14","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-5"
"54",5,"Jameson Williams",DET,"WR26","8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+9"
"59",5,"Jaylen Waddle",MIA,"WR29","12","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+10"
"67",6,"T.J. Hockenson",MIN,"TE5","6","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-2"
"86",6,"Travis Etienne Jr.",JAC,"RB31","8","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+3"
"92",6,"J.K. Dobbins",DEN,"RB33","12","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+6"
"99",7,"Justin Fields",NYJ,"QB12","9","Coach Upside rating","Coach Bust rating","5 out of 5 stars","+16"
"114",7,"Jayden Reed",GB,"WR48","5","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+3"
"122",7,"Chris Godwin Jr.",TB,"WR51","9","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-15"
"185",9,"Pittsburgh Steelers",PIT,"DST4","5","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-44"
"223",10,"Harrison Butker",KC,"K7","10","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-42"
