"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"2",1,"Bijan Robinson",ATL,"RB1","5","Coach Upside rating","Coach Bust rating","4 out of 5 stars","0"
"13",2,"Brian Thomas Jr.",JAC,"WR8","8","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+2"
"15",2,"Drake London",ATL,"WR9","5","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+2"
"36",4,"Davante Adams",LAR,"WR16","8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+9"
"41",4,"Kenneth Walker III",SEA,"RB15","8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","0"
"45",4,"TreVeyon Henderson",NE,"RB18","14","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+1"
"47",5,"Tetairoa McMillan",CAR,"WR22","14","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+11"
"73",6,"Baker Mayfield",TB,"QB7","9","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-5"
"91",6,"Zach Charbonnet",SEA,"RB32","8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+2"
"96",7,"Tyler Warren",IND,"TE10","11","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-4"
"107",7,"Michael Pittman Jr.",IND,"WR46","11","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+13"
"110",7,"Tank Bigsby",JAC,"RB37","8","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-2"
"113",7,"Cooper Kupp",SEA,"WR47","8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-13"
"232",10,"Evan McPherson",CIN,"K9","10","Coach Upside rating","Coach Bust rating","1 out of 5 stars","-31"
"293",11,"Arizona Cardinals",ARI,"DST20","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-54"
