"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"6",1,"Justin Jefferson",MIN,"WR3","6","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-1"
"14",2,"Ashton Jeanty",LV,"RB6","8","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-4"
"32",4,"Jayden Daniels",WAS,"QB3","12","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-2"
"33",4,"James Cook",BUF,"RB13","7","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-5"
"38",4,"Garrett Wilson",NYJ,"WR17","9","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+5"
"40",4,"Marvin Harrison Jr.",ARI,"WR19","8","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-1"
"52",5,"DeVonta Smith",PHI,"WR24","9","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+3"
"80",6,"Kaleb Johnson",PIT,"RB29","5","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-5"
"88",6,"Jakobi Meyers",LV,"WR39","8","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+2"
"98",7,"Javonte Williams",DAL,"RB34","10","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+12"
"116",7,"Jake Ferguson",DAL,"TE12","10","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+7"
"124",7,"Colston Loveland",CHI,"TE14","5","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-10"
"179",9,"Philadelphia Eagles",PHI,"DST2","9","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-50"
"186",9,"Minnesota Vikings",MIN,"DST5","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-27"
"195",9,"Brandon Aubrey",DAL,"K1","10","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-74"
