"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"5",1,"Saquon Barkley",PHI,"RB3","9","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-2"
"18",3,"Brock Bowers",LV,"TE1","8","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+4"
"20",3,"Josh Jacobs",GB,"RB9","5","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-7"
"28",3,"Jaxon Smith-Njigba",SEA,"WR12","8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+5"
"53",5,"Xavier Worthy",KC,"WR25","10","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+3"
"61",5,"David Montgomery",DET,"RB23","8","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-7"
"65",5,"Patrick Mahomes II",KC,"QB6","10","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-16"
"82",6,"Stefon Diggs",NE,"WR37","14","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+3"
"97",7,"Tucker Kraft",GB,"TE11","5","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-2"
"108",7,"Jared Goff",DET,"QB16","8","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-6"
"126",7,"Rashid Shaheed",NO,"WR52","11","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+11"
"128",7,"Nick Chubb",HOU,"RB41","6","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-10"
"191",9,"Houston Texans",HOU,"DST6","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-14"
"203",9,"Cameron Dicker",LAC,"K2","12","Coach Upside rating","Coach Bust rating","5 out of 5 stars","-70"
"206",9,"Jake Bates",DET,"K3","8","Coach Upside rating","Coach Bust rating","1 out of 5 stars","-61"
