"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"3",1,"Jahmyr Gibbs",DET,"RB2","8","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+1"
"19",3,"A.J. Brown",PHI,"WR10","9","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+1"
"23",3,"Trey McBride",ARI,"TE2","8","Coach Upside rating","Coach Bust rating","5 out of 5 stars","+4"
"34",4,"Tyreek Hill",MIA,"WR15","12","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-3"
"42",4,"Alvin Kamara",NO,"RB16","11","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-5"
"51",5,"DJ Moore",CHI,"WR23","5","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+2"
"66",5,"Aaron Jones Sr.",MIN,"RB26","6","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+1"
"74",6,"Bo Nix",DEN,"QB8","12","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-4"
"85",6,"Rashee Rice",KC,"WR38","10","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-13"
"90",6,"Deebo Samuel Sr.",WAS,"WR41","12","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-7"
"105",7,"Josh Downs",IND,"WR45","11","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+19"
"118",7,"Cam Skattebo",NYG,"RB39","14","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-13"
"147",8,"Brandon Aiyuk",SF,"WR58","14","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-1"
"148",8,"Joe Mixon",HOU,"RB51","6","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-54"
"159",8,"Jonnu Smith",PIT,"TE19","5","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-19"
"201",9,"Dameon Pierce",HOU,"RB64","6","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+65"
"236",10,"Jake Elliott",PHI,"K10","9","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-38"
"345",12,"Washington Commanders",WAS,"DST23","12","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-145"
