"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"4",1,"CeeDee Lamb",DAL,"WR2","10","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+2"
"7",2,"Malik Nabers",NYG,"WR4","14","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+4"
"24",3,"Ladd McConkey",LAC,"WR11","12","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+2"
"35",4,"Jalen Hurts",PHI,"QB4","9","Coach Upside rating","Coach Bust rating","3 out of 5 stars","0"
"58",5,"D'Andre Swift",CHI,"RB22","5","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+3"
"63",5,"RJ Harvey",DEN,"RB25","12","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-13"
"68",6,"Rome Odunze",CHI,"WR31","5","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+10"
"70",6,"Travis Hunter",JAC,"WR33","8","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+1"
"81",6,"Mark Andrews",BAL,"TE7","7","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-8"
"100",7,"Jordan Addison",MIN,"WR43","6","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-4"
"103",7,"Caleb Williams",CHI,"QB14","5","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+10"
"129",8,"Najee Harris",LAC,"RB42","12","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-7"
"139",8,"Quinshon Judkins",CLE,"RB48","9","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-35"
"228",10,"San Francisco 49ers",SF,"DST14","14","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars","-41"
"229",10,"Chris Boswell",PIT,"K8","5","Coach Upside rating","Coach Bust rating","1 out of 5 stars","-50"
