"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"12",2,"Puka Nacua",LAR,"WR7","8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+2"
"22",3,"Bucky Irving",TB,"RB11","9","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-3"
"26",3,"Lamar Jackson",BAL,"QB2","7","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-3"
"37",4,"Omarion Hampton",LAC,"RB14","12","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-8"
"46",4,"DK Metcalf",PIT,"WR21","5","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+2"
"71",6,"Tyrone Tracy Jr.",NYG,"RB27","14","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+3"
"75",6,"Ricky Pearsall",SF,"WR35","14","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+4"
"78",6,"Travis Kelce",KC,"TE6","10","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-16"
"87",6,"David Njoku",CLE,"TE8","9","Coach Upside rating","Coach Bust rating","3 out of 5 stars","0"
"94",6,"Brock Purdy",SF,"QB11","14","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+3"
"95",7,"Jauan Jennings",SF,"WR42","14","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+8"
"106",7,"Austin Ekeler",WAS,"RB35","12","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+6"
"162",8,"DeMario Douglas",NE,"WR63","14","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+58"
"198",9,"Buffalo Bills",BUF,"DST7","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars","-9"
"213",10,"Wil Lutz",DEN,"K4","12","Coach Upside rating","Coach Bust rating","5 out of 5 stars","-23"
